product_id,brand_ko,brand_en,product_name_ko,product_name_en,category,subcategory,has_hwahae_source,has_any_source,has_skin_type_signal,has_concern_signal,has_texture,has_age_signal,has_ranking,has_award,has_oliveyoung_global_offer,recommendation_review_candidate,commerce_review_candidate,missing_for_review
P00332,리타,,사프란온로즈 토너투캄,,토너,,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|subcategory|skin_type_signal|texture|oliveyoung_global_offer
P00333,리노블,,콜라겐 모이스처라이징 앰플 마스크,,마스크/팩,시트마스크,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00334,리노블,,히알루론산 모이스처라이징 앰플 마스크,,마스크/팩,시트마스크,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00335,그린핑거,Green Finger,판테딘 튼살크림,,임산부케어,임산부화장품,True,True,False,False,False,False,False,True,False,False,False,product_name_en|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
P00336,플리브미,,비건 키즈 헤어 미스트,,헤어,헤어케어,True,True,False,False,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
P00337,글로우풀,,시카 바하 카밍 세럼,,스킨케어,에센스/앰플/세럼,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00338,프루티드,,퍼플부스터 양파샴푸,,헤어,샴푸,True,True,False,False,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
P00339,허니버니,,허니 멜팅 샴푸,,헤어케어,샴푸,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00340,세로랩스,,제로 버블 퓨어 젤 클렌저,,클렌징/필링,클렌징 젤,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00341,오우스킨,,플라노리아 아스타잔틴 & 콜라겐 안티에이징 부스터,,스킨케어,크림,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
